Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
forkassn3,de.hysky.skyblocker.skyblock.tabhud.widget,DungeonPlayerWidget,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PLAYER_PATTERN
forkassn3,de.hysky.skyblocker.skyblock.tabhud.widget,MinionWidget,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: MINION_PATTERN
forkassn3,de.hysky.skyblocker.skyblock.tabhud.widget,JacobsContestWidget,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FARM_DATA
forkassn3,de.hysky.skyblocker.skyblock.tabhud.widget.component,Component,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PADDING_VERTICAL; PADDING_HORIZONTAL; PAD_S; PAD_L
forkassn3,de.hysky.skyblocker.skyblock.tabhud.widget.hud,HudCommsWidget,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INSTANCE; INSTANCE_CFG
forkassn3,de.hysky.skyblocker.skyblock.tabhud.widget.hud,HudPowderWidget,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INSTANCE; INSTANCE_CFG
forkassn3,de.hysky.skyblocker.skyblock.tabhud.util,ScreenConst,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: WIDGET_PAD; WIDGET_PAD_HALF
forkassn3,de.hysky.skyblocker.skyblock.tabhud.util,Ico,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: MAP; NTAG; EMERALD; MAGMA_CREAM; AMETHYST_SHARD; CLOCK; DIASWORD; DBUSH; VILLAGER; SPAWN_EGG; MOREGOLD; COMPASS; SUGAR; IRON_HOE; GOLDEN_HOE; GOLD; IRON; BONE; SIGN; FISH_ROD; STONE_SWORD; IRON_SWORD; LANTERN; COOKIE; POTION; S_POTION; BARRIER; PLAYER; WATER; LEATHER; MITHRIL; REDSTONE; FIRE; STRING; WITHER; FLESH; MUTTON; DRAGON; DIAMOND; ICE; CHEST; COMMAND; SKULL; BOOK; FURNACE; CHESTPLATE; L_CHESTPLATE; B_ROD; B_POWDER; BOW; COPPER; NETHERITE_UPGRADE_ST; COMPOSTER; SAPLING; SEEDS; MILESTONE; STONE_PICKAXE; IRON_PICKAXE; NETHER_STAR; HEART_OF_THE_SEA; EXPERIENCE_BOTTLE; PINK_DYE; LIME_DYE; GRAY_DYE; ENCHANTED_BOOK; SPIDER_EYE; BLUE_ICE; JUNGLE_SAPLING; ENCHANTING_TABLE; BREWING_STAND; CRAFTING_TABLE; PAINTING; E_PEARL; FEATHER; E_CHEST; MYCELIUM
forkassn3,de.hysky.skyblocker.skyblock.tabhud.util,PlayerListMgr,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LOGGER
forkassn3,de.hysky.skyblocker.skyblock.tabhud,TabHud,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: toggleB; toggleA; defaultTgl; LOGGER
forkassn3,de.hysky.skyblocker.skyblock.itemlist,ItemStackBuilder,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SKULL_UUID_PATTERN; SKULL_TEXTURE_PATTERN
forkassn3,de.hysky.skyblocker.skyblock.itemlist,ItemListWidget.TabContainerWidget,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
